 1            0             3.62975071163276            -132.8
 1            116.59        2.00293702083753            -137.82
 2            212.62        0.584945342077425           -169.25
 3            314.4         1.26738445571424            71.71
 4            414.87        2.86584658931892            61.6
 5            492.95        4.08131699843329            59.44
 6            585.9         4.66819859376698            59.31
 7            807.72        4.00649207004724            54.74
 8            819.88        3.96477529965268            54.07
 9            865.78        3.88566005360283            52.57
 10           950.83        3.77575514107273            50.5
 12           1145.38       3.52514835587391            46.31
