 1            0             1.90961166315278            -172.93
 1            50            2.05975433298045            -165.04
 2            100           2.27422159542195            -157.4
 3            150           2.52191523302211            -151.16
 4            200           2.79401517182713            -146.09
 5            250           3.08407043162848            -141.94
 6            300           3.38747344605958            -138.52
 7            350           3.70094436444738            -135.67
 8            400           4.02213152567701            -133.27
 9            450           4.34932667729775            -131.23
 10           550           4.94427019514178            -128.66
 11           650           4.00584560103248            -129.21
 12           700           3.43076714123269            -129.24
 13           750           2.85568572737428            -129.27
 14           800           2.28060319023051            -129.31
 15           850           1.70552097753767            -129.39
 16           900           1.13044346420976            -129.55
 17           950           0.555390067229099           -130.02
 18           1000          2.17491758581901E-02        75.51
 19           1050          0.594935361870041           51.79
 20           1100          1.16999217356201            51.36
 21           1150          1.74507036448425            51.21
 22           1200          2.32015256575255            51.14
 23           1250          2.89523453639211            51.09
 24           1300          3.47031527984383            51.07
 25           1350          4.04539343293787            51.05
 26           1450          4.98398730262647            51.55
 27           1550          4.38822274290361            49.03
 28           1600          4.06031660955445            47.02
 29           1650          3.73823425881963            44.67
 30           1700          3.42361760950225            41.88
 31           1750          3.11872513479503            38.54
 32           1800          2.82670357028875            34.49
 33           1850          2.55197264249505            29.55
 34           1900          2.30073213203275            23.46
 35           1950          2.08150277216925            16
 36           2000          1.9053617236072             6.97
